years	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	ann	A-S	DJF	MAM	JJA	SON
1978	0.4	-0.6	5.2	7.3	12.7	16.3	17.3	16.7	13.2	9.9	4.8	-0.5	8.6	13.9	0.2	8.4	16.8	9.3
1979	-4.1	-2.6	4.3	7.5	14.7	19.5	16.7	17.7	14.5	7.7	4.1	4	8.7	15.1	-2.4	8.8	18	8.8
1980	-4.8	0.8	2.3	6.8	10.8	16.5	17.4	17.4	13.5	9.3	3.2	1.2	7.9	13.7	0	6.6	17.1	8.7
1981	-1.1	0.2	7	7.5	14.8	18.1	18.5	17.9	14.6	9.4	4.8	-1.7	9.2	15.2	0.1	9.8	18.2	9.6
1982	-3.2	-0.4	5.2	6.7	13.9	17.6	20.1	19.2	16.6	10.5	5.6	2.1	9.5	15.7	-1.8	8.6	19	10.9
1983	4.2	-1.9	5.4	10.4	14.6	17.5	20.9	19	15	10.2	3.6	-0.7	9.9	16.2	1.5	10.1	19.1	9.6
1984	1.4	0	2.8	8.2	13.3	15.8	17	18.3	13.6	11.6	3.8	-0.2	8.8	14.4	0.2	8.1	17	9.7
1985	-7.7	-5.1	3.6	8.8	15.3	15.2	18.9	18.1	13.9	8.9	1.5	3.4	8	15	-4.3	9.2	17.4	8.1
1986	-0.2	-7.9	3	9	15.6	16.9	18.5	17.7	12.2	9.6	5.6	1.4	8.6	15	-1.6	9.2	17.7	9.1
1987	-9.1	-0.7	-0.6	8.8	12	16.4	19	16.6	15.2	9.9	5.5	2	7.9	14.7	-2.8	6.7	17.3	10.2
1988	3.2	2.5	2.7	8.6	15.3	17.1	19.5	18.4	14.8	9.6	1.6	2.9	9.7	15.6	2.6	8.9	18.3	8.7
1989	2.2	4.2	6.9	9.3	14.4	16.5	19.2	18.8	15.7	11.2	2.6	2.3	10.3	15.7	3.1	10.2	18.2	9.8
1990	2.7	5.9	8.3	8.5	15.1	17.3	18.7	19	12.7	10	5.5	0.9	10.4	15.2	3.6	10.6	18.3	9.4
1991	1.3	-3.2	6.6	8.6	10.7	16.1	20.4	18.9	15.8	8.4	4.2	-0.1	9.1	15.1	-0.3	8.6	18.5	9.5
1992	0.7	2.8	4.9	9	14.9	19.5	20.9	21.7	14.7	7.6	5.3	0.2	10.2	16.8	1.1	9.6	20.7	9.2
1993	1.7	-0.3	3	10.1	16.5	17	18.1	17.7	14	9	0.3	3.2	9.3	15.6	0.5	9.9	17.6	7.8
1994	3.6	-0.6	6.2	9.4	13.5	17.4	22.5	19.4	15.3	7.6	5.7	2.8	10.3	16.3	2.1	9.7	19.8	9.5
1995	-0.1	4.9	3.9	9.1	13.5	16.9	21.5	19.1	13.9	11.6	1.7	-2.6	9.5	15.7	2.5	8.8	19.2	9.1
1996	-4.5	-3.7	-0.1	8.5	13.9	17.6	17.7	18.3	11.3	10.4	6.4	-3.7	7.7	14.6	-3.6	7.4	17.9	9.4
1997	-3.9	3.5	4.7	6.6	14.3	18.1	18.9	19.7	14.8	7.9	3.8	1.9	9.2	15.4	-1.4	8.5	18.9	8.8
1998	2.1	5.2	3.9	10.9	15.3	18.5	19	18.1	14.5	9.4	1.2	0.2	9.9	16.1	3.1	10	18.5	8.4
1999	1.7	0.4	5.9	10.3	14.7	17.2	20.7	18.6	17.7	9.8	3.5	2.1	10.3	16.5	0.8	10.3	18.8	10.3
2000	0	4.1	5.5	12.4	16.1	18.6	17.7	19.3	13.9	13	7.3	2.9	10.9	16.3	2.1	11.3	18.5	11.4
2001	0.9	1.5	3.9	8.4	15.3	16.1	20.1	19.7	13	13.2	4	-1.1	9.6	15.4	1.8	9.2	18.6	10.1
2002	1	5.2	6	9.3	17.5	18.9	20.8	20.8	14.2	8.6	5.4	-2.6	10.5	16.9	1.7	10.9	20.2	9.4
2003	-1.3	-2.7	4.2	8.6	16.3	20	20.3	20.5	14.9	6.3	6	2	9.7	16.8	-2.2	9.7	20.3	9.1
2004	-2.8	2.3	5	10.1	13.4	17.5	19.3	19.8	15	11	5.2	1.8	9.8	15.9	0.5	9.5	18.9	10.4
2005	2.3	-1.2	2	10.1	14.5	17.4	20.3	18.1	16.2	10.5	3.6	1.1	9.6	16.1	1	8.9	18.6	10.1
2006	-5.6	-1.4	1	10.1	14.5	18.9	23.4	17.7	16.9	11.6	7	4.4	9.9	16.9	-2	8.5	20	11.8
2007	5.2	3	7.1	11.2	15.9	19.7	19.9	19.3	13.6	8.9	3.3	1.4	10.8	16.6	4.2	11.4	19.6	8.6
